exp,condition,participant,trialno,aiming_target,rotation_deg,aimingdeviation_deg,arrow_offset,phase
4,aiming,cbaa25,74,105,45,4,15,rotation
4,aiming,cbaa25,75,135,45,5,15,rotation
4,aiming,cbaa25,76,75,45,NA,15,rotation
4,aiming,cbaa25,77,45,45,9,15,rotation
4,aiming,cbaa25,78,135,45,6,15,rotation
4,aiming,cbaa25,79,105,45,4,15,rotation
4,aiming,cbaa25,80,75,45,3,15,rotation
4,aiming,cbaa25,81,135,45,4,15,rotation
4,aiming,cbaa25,82,105,45,9,15,rotation
4,aiming,cbaa25,83,45,45,7,15,rotation
4,aiming,cbaa25,84,75,45,NA,15,rotation
4,aiming,cbaa25,85,75,45,9,15,rotation
4,aiming,cbaa25,86,135,45,7,15,rotation
4,aiming,cbaa25,87,45,45,6,15,rotation
4,aiming,cbaa25,88,105,45,3,15,rotation
4,aiming,cbaa25,89,75,45,6,15,rotation
4,aiming,cbaa25,90,105,45,4,15,rotation
4,aiming,cbaa25,91,135,45,3,15,rotation
4,aiming,cbaa25,92,45,45,4,15,rotation
4,aiming,cbaa25,93,45,45,4,15,rotation
4,aiming,cbaa25,94,135,45,5,15,rotation
4,aiming,cbaa25,95,105,45,1,15,rotation
4,aiming,cbaa25,96,75,45,-1,15,rotation
4,aiming,cbaa25,97,45,45,NA,15,rotation
4,aiming,cbaa25,98,75,45,10,15,rotation
4,aiming,cbaa25,99,105,45,5,15,rotation
4,aiming,cbaa25,100,135,45,4,15,rotation
4,aiming,cbaa25,101,75,45,4,15,rotation
4,aiming,cbaa25,102,45,45,2,15,rotation
4,aiming,cbaa25,103,105,45,4,15,rotation
4,aiming,cbaa25,104,135,45,9,15,rotation
4,aiming,cbaa25,105,45,45,6,15,rotation
4,aiming,cbaa25,106,135,45,6,15,rotation
4,aiming,cbaa25,107,105,45,4,15,rotation
4,aiming,cbaa25,108,75,45,7,15,rotation
4,aiming,cbaa25,109,45,45,NA,15,rotation
4,aiming,cbaa25,110,75,45,6,15,rotation
4,aiming,cbaa25,111,135,45,2,15,rotation
4,aiming,cbaa25,112,105,45,4,15,rotation
4,aiming,cbaa25,113,45,45,3,15,rotation
4,aiming,cbaa25,114,75,45,3,15,rotation
4,aiming,cbaa25,115,105,45,2,15,rotation
4,aiming,cbaa25,116,135,45,NA,15,rotation
4,aiming,cbaa25,117,45,45,NA,15,rotation
4,aiming,cbaa25,118,135,45,7,15,rotation
4,aiming,cbaa25,119,75,45,4,15,rotation
4,aiming,cbaa25,120,105,45,3,15,rotation
4,aiming,964544,1,135,0,0,15,baseline
4,aiming,964544,2,105,0,0,15,baseline
4,aiming,964544,3,45,0,-1,15,baseline
4,aiming,964544,4,75,0,-1,15,baseline
4,aiming,964544,5,135,0,0,15,baseline
4,aiming,964544,6,105,0,4,15,baseline
4,aiming,964544,7,45,0,0,15,baseline
4,aiming,964544,8,75,0,-2,15,baseline
4,aiming,964544,9,105,0,0,15,baseline
4,aiming,964544,10,75,0,3,15,baseline
4,aiming,964544,11,135,0,-2,15,baseline
4,aiming,964544,12,45,0,0,15,baseline
4,aiming,964544,13,135,0,2,15,baseline
4,aiming,964544,14,75,0,4,15,baseline
4,aiming,964544,15,45,0,4,15,baseline
4,aiming,964544,16,105,0,0,15,baseline
4,aiming,964544,17,135,0,-2,15,baseline
4,aiming,964544,18,45,0,1,15,baseline
4,aiming,964544,19,75,0,1,15,baseline
4,aiming,964544,20,105,0,-1,15,baseline
4,aiming,964544,21,45,45,0,15,rotation
4,aiming,964544,22,105,45,3,15,rotation
4,aiming,964544,23,75,45,-1,15,rotation
4,aiming,964544,24,135,45,4,15,rotation
4,aiming,964544,25,45,45,2,15,rotation
4,aiming,964544,26,105,45,0,15,rotation
4,aiming,964544,27,135,45,2,15,rotation
4,aiming,964544,28,75,45,0,15,rotation
4,aiming,964544,29,75,45,-31,15,rotation
4,aiming,964544,30,45,45,-28,15,rotation
4,aiming,964544,31,105,45,-36,15,rotation
4,aiming,964544,32,135,45,-27,15,rotation
4,aiming,964544,33,45,45,-22,15,rotation
4,aiming,964544,34,135,45,-25,15,rotation
4,aiming,964544,35,105,45,-32,15,rotation
4,aiming,964544,36,75,45,-27,15,rotation
4,aiming,964544,37,75,45,-26,15,rotation
4,aiming,964544,38,105,45,-24,15,rotation
4,aiming,964544,39,45,45,-22,15,rotation
4,aiming,964544,40,135,45,-25,15,rotation
4,aiming,964544,41,105,45,-29,15,rotation
4,aiming,964544,42,45,45,-26,15,rotation
4,aiming,964544,43,135,45,-34,15,rotation
4,aiming,964544,44,75,45,-19,15,rotation
4,aiming,964544,45,135,45,-26,15,rotation
4,aiming,964544,46,75,45,-40,15,rotation
4,aiming,964544,47,45,45,-21,15,rotation
4,aiming,964544,48,105,45,-19,15,rotation
4,aiming,964544,49,105,45,-28,15,rotation
4,aiming,964544,50,75,45,-26,15,rotation
4,aiming,964544,51,135,45,-22,15,rotation
4,aiming,964544,52,45,45,-24,15,rotation
4,aiming,964544,53,135,45,-25,15,rotation
4,aiming,964544,54,45,45,-20,15,rotation
4,aiming,964544,55,105,45,-31,15,rotation
4,aiming,964544,56,75,45,-30,15,rotation
4,aiming,964544,57,105,45,-26,15,rotation
4,aiming,964544,58,45,45,-4,15,rotation
4,aiming,964544,59,135,45,-12,15,rotation
4,aiming,964544,60,75,45,-29,15,rotation
4,aiming,964544,61,135,45,-30,15,rotation
4,aiming,964544,62,45,45,-25,15,rotation
4,aiming,964544,63,105,45,-30,15,rotation
4,aiming,964544,64,75,45,-34,15,rotation
4,aiming,964544,65,75,45,-22,15,rotation
4,aiming,964544,66,135,45,-26,15,rotation
4,aiming,964544,67,45,45,-27,15,rotation
4,aiming,964544,68,105,45,-27,15,rotation
4,aiming,964544,69,135,45,-28,15,rotation
4,aiming,964544,70,105,45,-24,15,rotation
4,aiming,964544,71,45,45,-28,15,rotation
4,aiming,964544,72,75,45,-25,15,rotation
4,aiming,964544,73,105,45,-32,15,rotation
4,aiming,964544,74,45,45,-24,15,rotation
4,aiming,964544,75,135,45,-24,15,rotation
4,aiming,964544,76,75,45,-37,15,rotation
4,aiming,964544,77,45,45,-34,15,rotation
4,aiming,964544,78,105,45,-22,15,rotation
4,aiming,964544,79,75,45,-32,15,rotation
4,aiming,964544,80,135,45,-24,15,rotation
4,aiming,964544,81,135,45,-25,15,rotation
4,aiming,964544,82,75,45,-32,15,rotation
4,aiming,964544,83,45,45,-15,15,rotation
4,aiming,964544,84,105,45,-23,15,rotation
4,aiming,964544,85,75,45,-21,15,rotation
4,aiming,964544,86,45,45,-18,15,rotation
4,aiming,964544,87,135,45,-20,15,rotation
4,aiming,964544,88,105,45,-25,15,rotation
4,aiming,964544,89,45,45,-23,15,rotation
4,aiming,964544,90,105,45,-23,15,rotation
4,aiming,964544,91,135,45,-19,15,rotation
4,aiming,964544,92,75,45,-23,15,rotation
4,aiming,964544,93,105,45,-23,15,rotation
4,aiming,964544,94,45,45,-19,15,rotation
4,aiming,964544,95,135,45,-23,15,rotation
4,aiming,964544,96,75,45,-27,15,rotation
4,aiming,964544,97,135,45,-25,15,rotation
4,aiming,964544,98,45,45,-22,15,rotation
4,aiming,964544,99,105,45,-21,15,rotation
4,aiming,964544,100,75,45,-31,15,rotation
4,aiming,964544,101,105,45,-22,15,rotation
4,aiming,964544,102,135,45,-20,15,rotation
4,aiming,964544,103,45,45,-15,15,rotation
4,aiming,964544,104,75,45,-19,15,rotation
4,aiming,964544,105,75,45,-33,15,rotation
4,aiming,964544,106,135,45,-23,15,rotation
4,aiming,964544,107,45,45,-21,15,rotation
4,aiming,964544,108,105,45,-24,15,rotation
4,aiming,964544,109,105,45,-25,15,rotation
4,aiming,964544,110,135,45,-30,15,rotation
4,aiming,964544,111,75,45,-28,15,rotation
4,aiming,964544,112,45,45,-20,15,rotation
4,aiming,964544,113,45,45,-21,15,rotation
4,aiming,964544,114,75,45,-23,15,rotation
4,aiming,964544,115,105,45,-15,15,rotation
4,aiming,964544,116,135,45,-26,15,rotation
4,aiming,964544,117,135,45,-20,15,rotation
4,aiming,964544,118,75,45,-23,15,rotation
4,aiming,964544,119,45,45,-22,15,rotation
4,aiming,964544,120,105,45,-20,15,rotation
4,aiming,33ae4b,1,45,0,1,15,baseline
4,aiming,33ae4b,2,105,0,0,15,baseline
4,aiming,33ae4b,3,135,0,1,15,baseline
4,aiming,33ae4b,4,75,0,0,15,baseline
4,aiming,33ae4b,5,75,0,1,15,baseline
4,aiming,33ae4b,6,105,0,1,15,baseline
4,aiming,33ae4b,7,135,0,0,15,baseline
4,aiming,33ae4b,8,45,0,1,15,baseline
4,aiming,33ae4b,9,45,0,1,15,baseline
4,aiming,33ae4b,10,135,0,1,15,baseline
4,aiming,33ae4b,11,105,0,1,15,baseline
4,aiming,33ae4b,12,75,0,0,15,baseline
4,aiming,33ae4b,13,135,0,1,15,baseline
4,aiming,33ae4b,14,105,0,1,15,baseline
4,aiming,33ae4b,15,75,0,0,15,baseline
4,aiming,33ae4b,16,45,0,2,15,baseline
4,aiming,33ae4b,17,75,0,0,15,baseline
4,aiming,33ae4b,18,45,0,1,15,baseline
4,aiming,33ae4b,19,135,0,1,15,baseline
4,aiming,33ae4b,20,105,0,1,15,baseline
4,aiming,33ae4b,21,105,45,1,15,rotation
4,aiming,33ae4b,22,45,45,1,15,rotation
4,aiming,33ae4b,23,135,45,-91,15,rotation
4,aiming,33ae4b,24,75,45,NA,15,rotation
4,aiming,33ae4b,25,75,45,-27,15,rotation
4,aiming,33ae4b,26,45,45,-22,15,rotation
4,aiming,33ae4b,27,135,45,NA,15,rotation
4,aiming,33ae4b,28,105,45,-19,15,rotation
4,aiming,33ae4b,29,45,45,-18,15,rotation
4,aiming,33ae4b,30,105,45,-15,15,rotation
4,aiming,33ae4b,31,75,45,-15,15,rotation
4,aiming,33ae4b,32,135,45,-14,15,rotation
4,aiming,33ae4b,33,75,45,-16,15,rotation
4,aiming,33ae4b,34,105,45,-15,15,rotation
4,aiming,33ae4b,35,45,45,-15,15,rotation
4,aiming,33ae4b,36,135,45,-15,15,rotation
4,aiming,33ae4b,37,45,45,-14,15,rotation
